timestamp,ssid,mac,channel,rssi,authmode,hidden
'1609027375','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-67','0', '0'
'1609027375','qwerz','00:81:C4:7C:A0:B2','1','-67','3', '0'
'1609027376','qwerz','00:81:C4:E7:0E:32','6','-68','3', '0'
'1609027376','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-68','0', '0'
'1609027376','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-60','0', '0'
'1609027376','qwerz','00:81:C4:7C:A1:F2','11','-58','3', '0'
'1609027381','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-73','0', '0'
'1609027381','qwerz','00:81:C4:7C:A0:B2','1','-74','3', '0'
'1609027382','qwerz','00:81:C4:E7:0E:32','6','-73','3', '0'
'1609027382','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-70','0', '0'
'1609027382','qwerz','00:81:C4:7C:A1:F2','11','-70','3', '0'
'1609027382','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-68','0', '0'
'1609027387','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-77','0', '0'
'1609027387','qwerz','00:81:C4:7C:A0:B2','1','-77','3', '0'
'1609027387','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-70','0', '0'
'1609027387','qwerz','00:81:C4:E7:0E:32','6','-72','3', '0'
'1609027387','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-70','0', '0'
'1609027387','qwerz','00:81:C4:7C:A1:F2','11','-70','3', '0'
'1609027393','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-67','0', '0'
'1609027393','qwerz','00:81:C4:7C:A0:B2','1','-69','3', '0'
'1609027393','qwerz','00:81:C4:E7:0E:32','6','-70','3', '0'
'1609027393','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-70','0', '0'
'1609027393','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-67','0', '0'
'1609027393','qwerz','00:81:C4:7C:A1:F2','11','-67','3', '0'
'1609027393','BVG Wi-Fi','00:81:C4:7C:CA:B0','6','-85','0', '0'
'1609027398','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-64','0', '0'
'1609027398','qwerz','00:81:C4:7C:A0:B2','1','-63','3', '0'
'1609027399','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-77','0', '0'
'1609027399','qwerz','00:81:C4:E7:0E:32','6','-81','3', '0'
'1609027399','qwerz','00:81:C4:7C:A1:F2','11','-73','3', '0'
'1609027399','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-72','0', '0'
'1609027399','qwerz','00:81:C4:7C:CA:B2','6','-88','3', '0'
'1609027404','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-64','0', '0'
'1609027404','qwerz','00:81:C4:7C:A0:B2','1','-64','3', '0'
'1609027404','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-80','0', '0'
'1609027404','qwerz','00:81:C4:E7:0E:32','6','-76','3', '0'
'1609027405','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-67','0', '0'
'1609027405','qwerz','00:81:C4:7C:A1:F2','11','-66','3', '0'
'1609027405','BVG Wi-Fi','00:81:C4:7C:CA:B0','6','-84','0', '0'
'1609027410','qwerz','00:81:C4:7C:A0:B2','1','-55','3', '0'
'1609027410','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-60','0', '0'
'1609027410','qwerz','00:81:C4:E7:0E:32','6','-79','3', '0'
'1609027410','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-76','0', '0'
'1609027410','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-65','0', '0'
'1609027411','qwerz','00:81:C4:7C:A1:F2','11','-66','3', '0'
'1609027416','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-61','0', '0'
'1609027416','qwerz','00:81:C4:7C:A0:B2','1','-61','3', '0'
'1609027416','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-77','0', '0'
'1609027416','qwerz','00:81:C4:7C:CA:B2','6','-83','3', '0'
'1609027416','qwerz','00:81:C4:E7:0E:32','6','-74','3', '0'
'1609027416','BVG Wi-Fi','00:81:C4:7C:CA:B0','6','-80','0', '0'
'1609027416','BVG Wi-Fi','00:81:C4:7C:A1:F0','11','-74','0', '0'
'1609027417','qwerz','00:81:C4:7C:A1:F2','11','-72','3', '0'
'1609027422','BVG Wi-Fi','00:81:C4:7C:A0:B0','1','-47','0', '0'
'1609027422','qwerz','00:81:C4:7C:A0:B2','1','-48','3', '0'
'1609027422','BVG Wi-Fi','00:81:C4:74:18:42','1','-84','0', '0'
'1609027422','BVGMDA','00:81:C4:74:18:41','1','-83','3', '0'
'1609027422','Employee','00:81:C4:74:18:43','1','-83','5', '0'
'1609027422','BVG Wi-Fi','00:81:C4:E7:0E:30','6','-79','0', '0'
'1609027423','qwerz','00:81:C4:7C:CA:B2','6','-79','3', '0'
'1609027423','qwerz','00:81:C4:E7:0E:32','6','-83','3', '0'
