timestamp,ssid,mac,channel,rssi,authmode,hidden
'1609030391','qwerz','00:81:C4:91:06:C2','1','-81','3', '0'
'1609030391','BVG Wi-Fi','00:81:C4:91:06:C0','1','-82','0', '0'
'1609030391','BVG Wi-Fi','00:81:C4:90:E6:00','11','-77','0', '0'
'1609030391','qwerz','00:81:C4:90:E6:02','11','-76','3', '0'
'1609030396','BVG Wi-Fi','00:81:C4:91:06:C0','1','-78','0', '0'
'1609030396','qwerz','00:81:C4:91:06:C2','1','-78','3', '0'
'1609030396','BVG Wi-Fi','00:81:C4:90:E6:00','11','-66','0', '0'
'1609030397','qwerz','00:81:C4:90:E6:02','11','-67','3', '0'
'1609030402','BVG Wi-Fi','00:81:C4:91:06:C0','1','-75','0', '0'
'1609030402','qwerz','00:81:C4:91:06:C2','1','-76','3', '0'
'1609030402','BVG Wi-Fi','00:81:C4:90:E6:00','11','-62','0', '0'
'1609030402','qwerz','00:81:C4:90:E6:02','11','-62','3', '0'
'1609030407','BVG Wi-Fi','00:81:C4:91:06:C0','1','-71','0', '0'
'1609030407','qwerz','00:81:C4:91:06:C2','1','-69','3', '0'
'1609030407','BVG Wi-Fi','00:81:C4:90:E6:00','11','-61','0', '0'
'1609030407','qwerz','00:81:C4:90:E6:02','11','-60','3', '0'
'1609030412','BVG Wi-Fi','00:81:C4:91:06:C0','1','-64','0', '0'
'1609030413','qwerz','00:81:C4:91:06:C2','1','-65','3', '0'
'1609030413','BVG Wi-Fi','00:81:C4:90:E6:00','11','-53','0', '0'
'1609030413','qwerz','00:81:C4:90:E6:02','11','-51','3', '0'
'1609030418','BVG Wi-Fi','00:81:C4:91:06:C0','1','-68','0', '0'
'1609030418','qwerz','00:81:C4:91:06:C2','1','-67','3', '0'
'1609030418','BVG Wi-Fi','00:81:C4:90:E6:00','11','-53','0', '0'
'1609030418','qwerz','00:81:C4:90:E6:02','11','-53','3', '0'
'1609030423','BVG Wi-Fi','00:81:C4:91:06:C0','1','-73','0', '0'
'1609030423','qwerz','00:81:C4:91:06:C2','1','-72','3', '0'
'1609030424','BVG Wi-Fi','00:81:C4:90:E6:00','11','-66','0', '0'
'1609030424','qwerz','00:81:C4:90:E6:02','11','-66','3', '0'
'1609030429','BVG Wi-Fi','00:81:C4:91:06:C0','1','-75','0', '0'
'1609030429','qwerz','00:81:C4:91:06:C2','1','-75','3', '0'
'1609030429','BVG Wi-Fi','00:81:C4:90:E6:00','11','-67','0', '0'
'1609030429','qwerz','00:81:C4:90:E6:02','11','-66','3', '0'
'1609030434','BVG Wi-Fi','00:81:C4:91:06:C0','1','-75','0', '0'
'1609030434','qwerz','00:81:C4:91:06:C2','1','-76','3', '0'
'1609030434','BVG Wi-Fi','00:81:C4:90:E6:00','11','-69','0', '0'
'1609030435','qwerz','00:81:C4:90:E6:02','11','-70','3', '0'
'1609030440','BVG Wi-Fi','00:81:C4:91:06:C0','1','-77','0', '0'
'1609030440','qwerz','00:81:C4:91:06:C2','1','-77','3', '0'
'1609030440','BVG Wi-Fi','00:81:C4:90:E6:00','11','-80','0', '0'
'1609030440','qwerz','00:81:C4:90:E6:02','11','-80','3', '0'
'1609030445','BVG Wi-Fi','00:81:C4:91:06:C0','1','-78','0', '0'
'1609030445','qwerz','00:81:C4:91:06:C2','1','-78','3', '0'
'1609030445','BVG Wi-Fi','00:81:C4:90:E6:00','11','-75','0', '0'
'1609030446','qwerz','00:81:C4:90:E6:02','11','-75','3', '0'
'1609030451','qwerz','00:81:C4:91:06:C2','1','-81','3', '0'
'1609030451','BVG Wi-Fi','00:81:C4:91:06:C0','1','-78','0', '0'
'1609030451','qwerz','00:81:C4:90:E6:02','11','-80','3', '0'
'1609030451','BVG Wi-Fi','00:81:C4:90:E6:00','11','-78','0', '0'
'1609030456','qwerz','00:81:C4:91:06:C2','1','-87','3', '0'
'1609030456','BVG Wi-Fi','00:81:C4:91:06:C0','1','-84','0', '0'
'1609030457','BVG Wi-Fi','00:81:C4:90:E6:00','11','-74','0', '0'
'1609030457','qwerz','00:81:C4:90:E6:02','11','-73','3', '0'
'1609030462','BVG Wi-Fi','00:81:C4:90:E6:00','11','-75','0', '0'
'1609030462','qwerz','00:81:C4:90:E6:02','11','-75','3', '0'
'1609030467','BVG Wi-Fi','00:81:C4:90:E6:00','11','-77','0', '0'
'1609030467','qwerz','00:81:C4:90:E6:02','11','-76','3', '0'
'1609030472','qwerz','00:81:C4:91:06:C2','1','-83','3', '0'
'1609030473','BVG Wi-Fi','00:81:C4:90:E6:00','11','-74','0', '0'
'1609030473','qwerz','00:81:C4:90:E6:02','11','-75','3', '0'
'1609030478','qwerz','00:81:C4:91:06:C2','1','-79','3', '0'
'1609030478','BVG Wi-Fi','00:81:C4:91:06:C0','1','-83','0', '0'
'1609030479','BVG Wi-Fi','00:81:C4:90:E6:00','11','-71','0', '0'
'1609030479','qwerz','00:81:C4:90:E6:02','11','-71','3', '0'
'1609030484','BVG Wi-Fi','00:81:C4:91:06:C0','1','-71','0', '0'
'1609030484','qwerz','00:81:C4:91:06:C2','1','-73','3', '0'
'1609030484','qwerz','00:81:C4:90:E6:02','11','-86','3', '0'
'1609030484','BVG Wi-Fi','00:81:C4:90:E6:00','11','-87','0', '0'
'1609030489','BVG Wi-Fi','00:81:C4:91:06:C0','1','-75','0', '0'
'1609030489','qwerz','00:81:C4:91:06:C2','1','-74','3', '0'
'1609030490','BVG Wi-Fi','00:81:C4:90:E6:00','11','-86','0', '0'
'1609030495','BVG Wi-Fi','00:81:C4:91:06:C0','1','-71','0', '0'
'1609030495','qwerz','00:81:C4:91:06:C2','1','-72','3', '0'
'1609030495','qwerz','00:81:C4:90:E6:02','11','-87','3', '0'
'1609030495','BVG Wi-Fi','00:81:C4:90:E6:00','11','-84','0', '0'
'1609030500','BVG Wi-Fi','00:81:C4:91:06:C0','1','-72','0', '0'
'1609030500','qwerz','00:81:C4:91:06:C2','1','-70','3', '0'
'1609030500','qwerz','00:81:C4:90:E6:02','11','-79','3', '0'
'1609030500','BVG Wi-Fi','00:81:C4:90:E6:00','11','-80','0', '0'
'1609030505','BVG Wi-Fi','00:81:C4:91:06:C0','1','-76','0', '0'
'1609030505','qwerz','00:81:C4:91:06:C2','1','-77','3', '0'
'1609030506','qwerz','00:81:C4:90:E6:02','11','-81','3', '0'
'1609030506','BVG Wi-Fi','00:81:C4:90:E6:00','11','-80','0', '0'
'1609030511','BVG Wi-Fi','00:81:C4:91:06:C0','1','-70','0', '0'
'1609030511','qwerz','00:81:C4:91:06:C2','1','-69','3', '0'
'1609030511','qwerz','00:81:C4:90:E6:02','11','-79','3', '0'
'1609030511','BVG Wi-Fi','00:81:C4:90:E6:00','11','-77','0', '0'
